"word","interim_degree","final_degree"
"­",0,82
"",0,359
"aan",23,0
"aapor",0,7
"aaronson",0,15
"ab",0,46
"abilities",16,58
"ability",336,435
"able",69,211
"aboveaverage",0,40
"abroad",12,13
"abstract",15,0
"abstraction",23,44
"abstractions",0,11
"abstracts",0,15
"abundance",18,18
"academia",49,31
"academic",201,621
"academically",18,23
"academies",45,67
"academy",0,43
"accademic",23,0
"acceessed",12,0
"accelerated",0,12
"accelerator",0,24
"accelerators",0,16
"accepting",36,0
"access",213,245
"accessed",105,358
"accesseed",8,0
"accessibility",0,38
"accessible",172,71
"accessing",0,60
"accidental",16,0
"accommodate",27,12
"accompanied",21,17
"accomplish",0,62
"accordance",0,14
"according",0,35
"accordingly",0,33
"account",98,10
"accountability",0,9
"accounting",38,0
"accreditation",36,18
"accredited",0,6
"accuracy",55,25
"accurate",62,43
"accustomed",36,0
"achieve",42,105
"achieved",59,25
"achievement",0,6
"achieving",22,8
"acknowledge",19,0
"acknowledged",20,0
"acknowledging",0,16
"acknowledgments",0,29
"acm",0,32
"acms",0,19
"acquire",33,40
"acquired",0,21
"acquiring",22,0
"acquisition",0,54
"across",200,370
"act",13,18
"acting",0,19
"action",18,7
"actions",0,22
"active",61,75
"actively",15,67
"activities",147,166
"activity",12,105
"actors",0,14
"actually",0,19
"acumen",194,202
"acumenthe",11,0
"ad",0,2
"adapt",46,41
"adaptability",140,0
"adaptable",0,24
"adaptation",31,0
"adapted",3,43
"adapting",44,19
"adaption",12,0
"add",0,85
"added",141,10
"adding",24,0
"addition",78,101
"additional",112,153
"additionally",42,10
"addons",0,12
"address",159,176
"addressed",0,49
"addresses",0,15
"addressing",34,124
"adds",0,34
"adelaide",0,97
"adept",36,4
"adequately",4,39
"adherence",9,0
"adhikari",0,26
"adjunct",0,31
"adjust",27,79
"administered",0,11
"administration",0,18
"administrative",47,169
"administrators",17,121
"admit",20,0
"admitted",0,18
"adopt",8,18
"adopted",91,74
"adoption",39,52
"adults",0,21
"advance",29,39
"advanced",137,409
"advanced",0,25
"advancement",31,16
"advances",0,47
"advancing",0,20
"advantage",21,30
"advantages",12,0
"advent",7,16
"advertisements",16,15
"advertising",25,63
"advising",30,78
"advisors",0,56
"advocates",0,16
"affect",151,60
"affected",64,85
"affecting",0,11
"affection",22,10
"affiliation",0,31
"affirm",0,16
"affirmed",19,18
"affluent",0,34
"aforementioned",0,15
"african",0,23
"afterschool",33,0
"ag",0,1
"agarwal",18,1
"agencies",126,48
"agency",0,9
"agree",0,12
"agreement",18,18
"agrees",0,14
"ahead",0,26
"aid",110,40
"aim",66,73
"aimed",13,45
"aims",73,69
"air",0,20
"ajg",0,1
"al",129,252
"albeit",0,40
"alexandre",0,1
"alfred",9,0
"algebra",25,181
"algorithmic",7,111
"algorithms",38,268
"ali",0,42
"alicia",0,4
"align",28,84
"aligned",0,42
"aligning",0,10
"alignment",23,7
"aligns",16,0
"alike",0,7
"alikeat",0,24
"alisson",0,1
"allegheny",0,34
"allegiance",21,0
"allia",20,0
"allian",8,0
"alliance",36,0
"allocate",14,30
"allocation",0,17
"allow",101,98
"allowed",11,15
"allowing",12,0
"allows",86,100
"allseeing",0,6
"almost",36,0
"alone",0,34
"along",24,20
"alpha",0,25
"already",123,76
"also",518,825
"alteration",0,25
"altering",0,14
"alternative",11,127
"alternatively",0,21
"alternatives",19,44
"although",160,218
"altogether",0,21
"always",32,44
"ama",0,19
"amaassnorgdeliveringcareamacodemedicalethics",0,0
"amalgams",0,9
"ambitious",15,0
"ameerican",12,0
"amenable",10,0
"america",6,0
"american",63,112
"americas",0,7
"amherst",40,17
"amherst",0,24
"among",143,233
"amount",15,63
"amounts",0,20
"ample",0,12
"ams",0,1
"analogous",7,0
"analogy",33,0
"analyses",169,276
"analysis",338,778
"analysisand",0,13
"analyst",0,35
"analysts",12,115
"analytic",53,37
"analytical",28,91
"analytics",172,418
"­analytics",0,38
"analyze",38,161
"analyzed",79,39
"analyzes",17,0
"analyzing",14,64
"ance",20,0
"anchored",0,6
