,word,interim_eig_cent,final_eig_cent,SJEDI
1,,0,0.027685384,FALSE
2,­,0,0.00870105,FALSE
3,aan,0.001451507,0,FALSE
4,aapor,0,0.000600239,FALSE
5,aaronson,0,0.00024191,FALSE
6,ab,0,0.002383415,FALSE
7,abil,0.066574318,0.028711882,TRUE
8,abl,0.007591027,0.013234034,FALSE
9,aboveaverag,0,0.001955252,FALSE
10,abroad,0.000689691,0.001149467,FALSE
11,abstract,0.005460178,0.005979301,FALSE
12,abund,0.001838069,0.000773519,FALSE
13,academ,0.0461002,0.102970699,FALSE
14,academi,0.011887847,0.008236343,FALSE
15,academia,0.004686774,0.002599671,FALSE
16,accadem,0.001451507,0,FALSE
17,acceess,0.0002445,0,FALSE
18,acceler,0,0.004502503,FALSE
19,accept,0.003975138,0,FALSE
20,access,0.069751619,0.076134572,TRUE
21,accesse,6.10E-05,0,FALSE
22,accident,0.000334017,0,FALSE
23,accommod,0.003486669,0.001278533,FALSE
24,accompani,0.003490094,0.000370292,FALSE
25,accomplish,0,0.002250239,FALSE
26,accord,0,0.003810412,FALSE
27,account,0.014207771,0.001556302,FALSE
28,accredit,0.00493832,0.002601329,FALSE
29,accur,0.005591149,0.000400413,FALSE
30,accuraci,0.002135534,0.000758678,FALSE
31,accustom,0.003975138,0,FALSE
32,achiev,0.014652865,0.008963782,FALSE
33,acknowledg,0.0010255,0.001777021,FALSE
34,acm,0,0.000782021,FALSE
35,acquir,0.009464708,0.005407739,FALSE
36,acquisit,0,0.003895181,FALSE
37,across,0.038316522,0.037311683,FALSE
38,act,0.000444727,0.000620856,FALSE
39,action,0.001142996,0.003495569,FALSE
40,activ,0.027224882,0.022764345,FALSE
41,actor,0,0.00015321,FALSE
42,actual,0,0.000216567,FALSE
43,acumen,0.041201723,0.019482444,FALSE
44,acumenth,0.001982839,0,FALSE
45,ad,0.02218479,0.000256496,FALSE
46,adapt,0.035640581,0.009772662,FALSE
47,add,0,0.009750112,FALSE
48,addit,0.029162614,0.021236146,FALSE
49,addon,0,0.001117723,FALSE
50,address,0.036786395,0.021134837,FALSE
51,adelaid,0,0.002746151,FALSE
52,adept,0.003975138,0.000596851,FALSE
53,adequ,0.000124248,0.002117507,FALSE
54,adher,0.000166266,0,FALSE
55,adhikari,0,0.001497349,FALSE
56,adjunct,0,0.002115765,FALSE
57,adjust,0.003486669,0.003992475,FALSE
58,administ,0,0.001209023,FALSE
59,administr,0.0086365,0.02398853,FALSE
60,admit,0.003917323,0.00074394,FALSE
61,adopt,0.019309369,0.014071778,FALSE
62,adult,0,0.001402554,FALSE
63,advanc,0.030007913,0.040221745,FALSE
64,advanc,0,0.000306707,FALSE
65,advantag,0.003641447,0.002384478,FALSE
66,advent,0.00235378,0.000912078,FALSE
67,advertis,0.004045979,0.002491237,FALSE
68,advis,0.004035036,0.006501249,FALSE
69,advisor,0,0.003478748,FALSE
70,advoc,0,0.000635415,FALSE
71,affect,0.026387323,0.010255961,FALSE
72,affili,0,0.001270115,FALSE
73,affirm,0.00042289,0.005865116,FALSE
74,affluent,0,0.001319115,FALSE
75,aforement,0,0.001172357,FALSE
76,african,0,0.000545158,FALSE
77,afterschool,0.003024727,0,FALSE
78,ag,0,3.86E-07,FALSE
79,agarw,0.002895963,1.09E-06,FALSE
80,agenc,0.014686136,0.003801511,FALSE
81,agre,0,0.001388243,FALSE
82,agreement,0.001838069,0.000773519,FALSE
83,ahead,0,0.003170925,FALSE
84,aid,0.006902565,0.003314948,FALSE
85,aim,0.023168408,0.012118143,FALSE
86,air,0,0.000941088,FALSE
87,ajg,0,1.39E-07,FALSE
88,al,0.010381987,0.010348013,FALSE
89,albeit,0,0.001676055,FALSE
90,alexandr,0,0,FALSE
91,alfr,0.002130375,0,FALSE
92,algebra,0.002149751,0.011348427,FALSE
93,algorithm,0.005133705,0.024421793,FALSE
94,ali,0,0.000775461,FALSE
95,alicia,0,1.61E-05,FALSE
96,align,0.009782999,0.01120638,FALSE
97,alik,0,0.001087392,FALSE
98,alikeat,0,0.001117942,FALSE
99,alisson,0,3.30E-11,FALSE
100,allegheni,0,0.002891471,FALSE
101,allegi,0.000334975,0,FALSE
102,allia,0.001490495,0,FALSE
103,allian,6.10E-05,0,FALSE
104,allianc,0.001033288,0,FALSE
105,alloc,0.001559658,0.002068131,FALSE
106,allow,0.02638114,0.013428987,FALSE
107,allse,0,2.38E-05,FALSE
108,almost,0.004108589,0,FALSE
109,alon,0,0.001429219,FALSE
110,along,0.001293355,0.00186558,FALSE
111,alpha,0,0.000985583,FALSE
112,alreadi,0.014673323,0.006702086,FALSE
113,also,0.117641734,0.092469796,FALSE
114,alter,0,0.001405309,FALSE
115,altern,0.004791012,0.013654819,FALSE
116,although,0.020439357,0.012558896,FALSE
117,altogeth,0,0.001353039,FALSE
118,alway,0.000820168,0.00171904,FALSE
119,am,0,0,FALSE
120,ama,0,0.000381532,FALSE
121,amaassnorgdeliveringcareamacodemedicaleth,0,0,FALSE
122,amalgam,0,0.00106945,FALSE
123,ambiti,0.002955447,0,FALSE
124,ameerican,0.0002445,0,FALSE
125,amen,0.002712102,0,FALSE
126,america,0.000182951,0.001035356,FALSE
127,american,0.009570538,0.004792219,FALSE
128,amherst,0.008814725,0.000387527,FALSE
129,amherst,0,0.001792446,FALSE
130,among,0.016457606,0.023112778,FALSE
131,amount,0.002377437,0.002919152,FALSE
132,ampl,0,0.001369461,FALSE
133,analog,0.002993446,0,FALSE
134,analys,0.024471341,0.012354432,FALSE
135,analysi,0.053139714,0.064626451,FALSE
136,analysisand,0,0.00069693,FALSE
137,analyst,0.000234175,0.007093555,FALSE
138,analyt,0.037049254,0.048937969,FALSE
139,­analyt,0,0.00213449,FALSE
140,analyz,0.023110621,0.015046299,FALSE
141,anc,0.001490495,0,FALSE
142,anchor,0,0.001063991,FALSE
143,ancillari,0.001900197,0,FALSE
144,anda,0.000570719,0,FALSE
145,andi,0,0.000723633,FALSE
146,andor,0.021846226,0.005046197,FALSE
147,angel,0,0.000775461,FALSE
148,ann,0,0.001297245,FALSE
149,annual,0,9.03E-05,FALSE
150,anoth,0.013701385,0.01571599,FALSE
151,anothera,0,0.001283838,FALSE
152,answer,0.006857195,0.003481845,FALSE
153,anthropolog,0.003436741,0.002074931,FALSE
154,anticip,0,0.001778149,FALSE
155,ap,0,0.000732583,FALSE
156,app,0.002538009,0.000116058,FALSE
157,appar,0.002637504,0,FALSE
158,appeal,0.012223047,0.002336097,FALSE
159,appear,0,0.00181481,FALSE
160,appendix,7.89E-05,0.004185237,FALSE
161,appl,0,0,FALSE
162,appli,0.059953469,0.041315775,FALSE
163,applic,0.079663063,0.046321301,FALSE
164,applli,0.001033288,0,FALSE
165,appreci,0.011247151,0.002419394,FALSE
166,apprenticeship,0,0.000166349,FALSE
167,approach,0.113362556,0.047974676,FALSE
168,approachfor,0.003443075,0,FALSE
169,appropri,0.037646541,0.027843985,FALSE
170,approv,0.001871709,0.016863994,FALSE
171,approxim,0,0.001728212,FALSE
172,april,0.000360821,0.000370793,FALSE
173,arbor,0,0.001297245,FALSE
174,architectur,0,0.003682473,FALSE
175,area,0.052305415,0.034347999,FALSE
176,argu,0.006893893,0.00078129,FALSE
177,aris,0.01324818,0.007544624,FALSE
178,arisen,0,0.000116058,FALSE
179,around,0.017291979,0.010946452,FALSE
180,array,0.004687653,0.007501692,FALSE
181,arriv,0.00028056,0,FALSE
182,art,0.010388108,0.020502945,FALSE
183,articul,0.001478298,0.003177807,FALSE
184,artifact,0,0.003369828,FALSE
185,artifici,0.003975138,0.00191843,FALSE
186,artist,0,0.00134837,FALSE
187,artwork,0.00030215,0,FALSE
188,asa,0.003616892,0.005292117,FALSE
189,asai,2.26E-05,0,FALSE
190,ascertain,0.00536095,0,FALSE
191,asham,0.000564771,0.000533406,FALSE
192,ashua,0,0.001375363,FALSE
193,ask,0.005956858,0.003787408,FALSE
194,aspect,0.027234903,0.018456098,FALSE
195,aspir,0,0.000824409,FALSE
196,aspx,0,6.16E-05,FALSE
197,assembl,0,0.001843762,FALSE
198,assert,0.002253283,0.002088103,FALSE
199,assess,0.046466458,0.02918819,FALSE
200,assi,0.001490495,0,FALSE
201,assign,0.004534099,0.00142665,FALSE
202,assist,0.013311673,0.010290927,FALSE
203,assistantship,0.000340988,0.001724312,FALSE
204,associ,0.021815085,0.033417872,FALSE
205,asssoci,0.000207178,0,FALSE
206,assum,0,0.001854714,FALSE
207,assumpt,0,0.000280079,FALSE
208,assur,0.00060261,0.001077108,FALSE
209,astronomi,0.003436741,0.002074931,FALSE
210,atlanta,0.00374333,0.00213449,FALSE
211,attack,0,0.001227884,FALSE
212,attain,0,0.000613114,FALSE
213,attempt,0,8.31E-05,FALSE
214,attend,0.000334017,0.000361116,FALSE
215,attent,0,0.001022156,FALSE
216,attitud,0.002962024,0,FALSE
217,attract,0.042313932,0.021505216,FALSE
218,attribut,0,0.002772061,FALSE
219,attrit,0,4.30E-05,FALSE
220,audienc,0.025143047,0.00288381,FALSE
221,augment,0.000256206,0.000166349,FALSE
222,august,0.021515325,0.000765014,FALSE
223,austin,0.002538009,0.001509873,FALSE
224,author,0,8.89E-05,FALSE
225,autom,0,0.001283122,FALSE
226,automaticallyand,0,0.000566819,FALSE
227,autonom,0,0.001034974,FALSE
228,autonomi,0,0.000623213,FALSE
